date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:57:51	2141/2141	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2003%20Apr%202020%2009:18:56%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/idea.svg	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/idea.svg	(from https://retrina.com/demo/arshia/pilling-parallax/flat-colorfull.html)
20:57:52	4611/4611	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2003%20Apr%202020%2009:32:58%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/support.svg	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/support.svg	(from https://retrina.com/demo/arshia/pilling-parallax/flat-colorfull.html)
20:57:52	8193/8193	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2003%20Apr%202020%2009:47:26%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/responsive-design.svg	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/responsive-design.svg	(from https://retrina.com/demo/arshia/pilling-parallax/flat-colorfull.html)
20:57:53	4406/4406	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2003%20Apr%202020%2009:50:54%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/unlimited.svg	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/unlimited.svg	(from https://retrina.com/demo/arshia/pilling-parallax/flat-colorfull.html)
20:57:54	18148/18148	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2003%20Apr%202020%2009:27:58%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/premium-service.svg	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/premium-service.svg	(from https://retrina.com/demo/arshia/pilling-parallax/flat-colorfull.html)
20:57:56	20771/20771	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Apr%202020%2006:42:40%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/portfolio-02.jpg	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/portfolio-02.jpg	(from https://retrina.com/demo/arshia/pilling-parallax/flat-colorfull.html)
20:57:56	18350/18350	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Apr%202020%2006:43:12%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/portfolio-03.jpg	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/portfolio-03.jpg	(from https://retrina.com/demo/arshia/pilling-parallax/flat-colorfull.html)
20:57:58	19860/19860	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Apr%202020%2006:42:44%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/portfolio-04.jpg	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/portfolio-04.jpg	(from https://retrina.com/demo/arshia/pilling-parallax/flat-colorfull.html)
20:57:58	8751/8751	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Apr%202020%2006:43:16%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/portfolio-05.jpg	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/portfolio-05.jpg	(from https://retrina.com/demo/arshia/pilling-parallax/flat-colorfull.html)
20:57:59	13004/13004	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Apr%202020%2006:43:18%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/portfolio-06.jpg	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/portfolio-06.jpg	(from https://retrina.com/demo/arshia/pilling-parallax/flat-colorfull.html)
20:58:00	13504/13504	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Apr%202020%2006:42:48%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/portfolio-07.jpg	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/portfolio-07.jpg	(from https://retrina.com/demo/arshia/pilling-parallax/flat-colorfull.html)
20:58:01	17917/17917	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Apr%202020%2006:42:52%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/portfolio-08.jpg	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/portfolio-08.jpg	(from https://retrina.com/demo/arshia/pilling-parallax/flat-colorfull.html)
20:58:02	25373/25373	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Apr%202020%2006:43:20%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/portfolio-09.jpg	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/portfolio-09.jpg	(from https://retrina.com/demo/arshia/pilling-parallax/flat-colorfull.html)
20:58:03	5758/5758	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Apr%202020%2006:39:02%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/man.png	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/man.png	(from https://retrina.com/demo/arshia/pilling-parallax/flat-colorfull.html)
20:58:04	9627/9627	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Apr%202020%2006:39:04%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/woman.png	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/woman.png	(from https://retrina.com/demo/arshia/pilling-parallax/flat-colorfull.html)
20:58:05	7420/7420	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Apr%202020%2006:39:06%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/woman-avator.png	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/woman-avator.png	(from https://retrina.com/demo/arshia/pilling-parallax/flat-colorfull.html)
20:58:06	20641/20641	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Apr%202020%2006:42:32%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/blog-10.jpg	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/blog-10.jpg	(from https://retrina.com/demo/arshia/pilling-parallax/flat-colorfull.html)
20:58:07	23079/23079	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Apr%202020%2006:43:02%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/blog-11.jpg	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/blog-11.jpg	(from https://retrina.com/demo/arshia/pilling-parallax/flat-colorfull.html)
20:58:09	3502/3502	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2007%20Apr%202020%2014:21:28%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/phone.svg	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/phone.svg	(from https://retrina.com/demo/arshia/pilling-parallax/flat-colorfull.html)
20:58:10	3573/3573	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2007%20Apr%202020%2014:49:40%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/location.svg	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/location.svg	(from https://retrina.com/demo/arshia/pilling-parallax/flat-colorfull.html)
20:58:12	1670/1670	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2007%20Apr%202020%2014:52:28%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/img/send.svg	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/img/send.svg	(from https://retrina.com/demo/arshia/pilling-parallax/flat-colorfull.html)
20:58:14	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f3194c2-4d7%22	https://retrina.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://retrina.com/demo/arshia/pilling-parallax/flat-colorfull.html)
20:58:15	88145/88145	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2011%20Sep%202019%2010:51:52%20GMT	https://retrina.com/demo/arshia/pilling-parallax/assets/js/jquery-3.4.1.min.js	/storage/emulated/0/HTTrack/Websites/personal%20website/retrina.com/demo/arshia/pilling-parallax/assets/js/jquery-3.4.1.min.js	(from https://retrina.com/demo/arshia/pilling-parallax/flat-colorfull.html)
